[ 50%] Built target object_velocity_splitter_node
[100%] Built target object_velocity_splitter_node_component
-- Install configuration: "Release"
-- Execute custom install script
-- Up-to-date symlink: /home/mtl12345/autoware/install/object_velocity_splitter/lib/object_velocity_splitter/object_velocity_splitter_node
-- Up-to-date symlink: /home/mtl12345/autoware/install/object_velocity_splitter/include/object_velocity_splitter/object_velocity_splitter_node.hpp
-- Up-to-date symlink: /home/mtl12345/autoware/install/object_velocity_splitter/share/object_velocity_splitter/environment/library_path.sh
-- Up-to-date symlink: /home/mtl12345/autoware/install/object_velocity_splitter/share/object_velocity_splitter/environment/library_path.dsv
-- Up-to-date symlink: /home/mtl12345/autoware/install/object_velocity_splitter/lib/libobject_velocity_splitter_node_component.so
-- Up-to-date symlink: /home/mtl12345/autoware/install/object_velocity_splitter/share/object_velocity_splitter/launch/object_velocity_splitter.launch.xml
-- Up-to-date symlink: /home/mtl12345/autoware/install/object_velocity_splitter/share/ament_index/resource_index/package_run_dependencies/object_velocity_splitter
-- Up-to-date symlink: /home/mtl12345/autoware/install/object_velocity_splitter/share/ament_index/resource_index/parent_prefix_path/object_velocity_splitter
-- Up-to-date symlink: /home/mtl12345/autoware/install/object_velocity_splitter/share/object_velocity_splitter/environment/ament_prefix_path.sh
-- Up-to-date symlink: /home/mtl12345/autoware/install/object_velocity_splitter/share/object_velocity_splitter/environment/ament_prefix_path.dsv
-- Up-to-date symlink: /home/mtl12345/autoware/install/object_velocity_splitter/share/object_velocity_splitter/environment/path.sh
-- Up-to-date symlink: /home/mtl12345/autoware/install/object_velocity_splitter/share/object_velocity_splitter/environment/path.dsv
-- Up-to-date symlink: /home/mtl12345/autoware/install/object_velocity_splitter/share/object_velocity_splitter/local_setup.bash
-- Up-to-date symlink: /home/mtl12345/autoware/install/object_velocity_splitter/share/object_velocity_splitter/local_setup.sh
-- Up-to-date symlink: /home/mtl12345/autoware/install/object_velocity_splitter/share/object_velocity_splitter/local_setup.zsh
-- Up-to-date symlink: /home/mtl12345/autoware/install/object_velocity_splitter/share/object_velocity_splitter/local_setup.dsv
-- Symlinking: /home/mtl12345/autoware/install/object_velocity_splitter/share/object_velocity_splitter/package.dsv
-- Up-to-date symlink: /home/mtl12345/autoware/install/object_velocity_splitter/share/ament_index/resource_index/packages/object_velocity_splitter
-- Up-to-date symlink: /home/mtl12345/autoware/install/object_velocity_splitter/share/ament_index/resource_index/rclcpp_components/object_velocity_splitter
-- Up-to-date symlink: /home/mtl12345/autoware/install/object_velocity_splitter/share/object_velocity_splitter/cmake/ament_cmake_export_dependencies-extras.cmake
-- Up-to-date symlink: /home/mtl12345/autoware/install/object_velocity_splitter/share/object_velocity_splitter/cmake/ament_cmake_export_include_directories-extras.cmake
-- Up-to-date symlink: /home/mtl12345/autoware/install/object_velocity_splitter/share/object_velocity_splitter/cmake/ament_cmake_export_libraries-extras.cmake
-- Up-to-date symlink: /home/mtl12345/autoware/install/object_velocity_splitter/share/object_velocity_splitter/cmake/object_velocity_splitterConfig.cmake
-- Up-to-date symlink: /home/mtl12345/autoware/install/object_velocity_splitter/share/object_velocity_splitter/cmake/object_velocity_splitterConfig-version.cmake
-- Up-to-date symlink: /home/mtl12345/autoware/install/object_velocity_splitter/share/object_velocity_splitter/package.xml
