x,y,z
77666,86903,277.12744140625
77665,86903,277.1372375488281
77664,86903,277.1662292480469
77664,86904,277.1783752441406
77663,86904,277.19854736328125
77662,86904,277.22705078125
77661,86904,277.2544250488281
77660,86904,277.28265380859375
77660,86905,277.2893371582031
77659,86905,277.31463623046875
77658,86905,277.34637451171875
77657,86905,277.378173828125
77656,86905,277.40863037109375
77656,86906,277.41766357421875
77655,86906,277.4371337890625
77654,86906,277.46502685546875
77653,86906,277.48919677734375
77652,86906,277.5128173828125
77651,86906,277.53179931640625
77650,86906,277.5523376464844
77650,86907,277.5632019042969
77649,86907,277.57366943359375
77648,86907,277.5929260253906
77647,86907,277.6140441894531
77646,86907,277.6353454589844
77645,86907,277.6536560058594
77644,86907,277.67364501953125
77643,86907,277.6895446777344
77642,86907,277.70880126953125
77642,86906,277.719482421875
77641,86906,277.7249755859375
77640,86906,277.744140625
77639,86906,277.7612609863281
77638,86906,277.7867736816406
77637,86906,277.8077697753906
77637,86905,277.8153991699219
77636,86905,277.82952880859375
77635,86905,277.85321044921875
77634,86905,277.8717956542969
77634,86904,277.87646484375
77633,86904,277.8971862792969
77632,86904,277.9132995605469
77632,86903,277.9185791015625
77631,86903,277.9337158203125
77630,86902,277.9512939453125
77629,86902,277.9725646972656
77629,86901,277.9833068847656
77628,86901,277.9901123046875
77628,86900,278.0025329589844
77627,86900,278.0047912597656
77626,86899,278.0234069824219
77625,86898,278.0465087890625
77625,86897,278.0702209472656
77624,86897,278.07208251953125
77624,86896,278.0955810546875
77623,86896,278.1048889160156
77623,86895,278.1240234375
77622,86895,278.1397705078125
77622,86894,278.1473693847656
77622,86893,278.1748046875
77621,86893,278.18157958984375
77621,86892,278.19842529296875
77621,86891,278.2216796875
77620,86891,278.2237548828125
77620,86890,278.2425842285156
77620,86889,278.2689514160156
77619,86889,278.275634765625
77619,86888,278.2915954589844
77619,86887,278.315673828125
77618,86886,278.33758544921875
77618,86885,278.3585510253906
77618,86884,278.3772888183594
77618,86883,278.3966064453125
77617,86883,278.40301513671875
77617,86882,278.4136962890625
77617,86881,278.4279479980469
77617,86880,278.44268798828125
77617,86879,278.4527282714844
77617,86878,278.46099853515625
77616,86878,278.464111328125
77616,86877,278.4664306640625
77616,86876,278.4688720703125
77616,86875,278.4713134765625
77616,86874,278.47344970703125
77616,86873,278.4732971191406
77616,86872,278.4705810546875
77616,86871,278.4657287597656
77616,86870,278.4591369628906
77616,86869,278.4472961425781
77615,86869,278.4389953613281
77615,86868,278.4351501464844
77615,86867,278.42095947265625
77615,86866,278.4031677246094
77615,86865,278.385986328125
77615,86864,278.3649597167969
77615,86863,278.3447265625
77615,86862,278.3199462890625
77615,86861,278.2963562011719
77615,86860,278.2732238769531
77615,86859,278.2506408691406
77615,86858,278.22308349609375
77615,86857,278.1955871582031
77615,86856,278.1685485839844
77615,86855,278.1405029296875
77615,86854,278.1102600097656
77614,86854,278.0836181640625
77614,86853,278.0771484375
77614,86852,278.0426330566406
77614,86851,278.0073547363281
77614,86850,277.9678649902344
77614,86849,277.9218444824219
77614,86848,277.881591796875
77614,86847,277.8336486816406
77614,86846,277.7842712402344
77614,86845,277.737548828125
77614,86844,277.6825256347656
77614,86843,277.6271057128906
77614,86842,277.5704345703125
77614,86841,277.52008056640625
77614,86840,277.4637756347656
77614,86839,277.4070739746094
77614,86838,277.34710693359375
77614,86837,277.2896728515625
77613,86837,277.2306213378906
77613,86836,277.2237854003906
77613,86835,277.15667724609375
77613,86834,277.0938720703125
77613,86833,277.02337646484375
77613,86832,276.96807861328125
77613,86831,276.9005126953125
77613,86830,276.8406066894531
77613,86829,276.7779846191406
77613,86828,276.719970703125
77613,86827,276.6576232910156
77613,86826,276.5937805175781
77613,86825,276.5257568359375
77613,86824,276.4591369628906
77613,86823,276.3955993652344
77613,86822,276.32720947265625
77613,86821,276.2552795410156
77613,86820,276.1878356933594
77613,86819,276.1229248046875
77613,86818,276.0677795410156
77613,86817,276.0077209472656
77613,86816,275.9425048828125
77613,86815,275.87969970703125
77613,86814,275.8210754394531
77613,86813,275.75408935546875
77613,86812,275.6875305175781
77613,86811,275.6227722167969
77613,86810,275.5631408691406
77613,86809,275.499755859375
77612,86809,275.48095703125
77612,86808,275.4372863769531
77612,86807,275.3807067871094
77612,86806,275.3165283203125
77612,86805,275.2540588378906
77612,86804,275.1946105957031
77612,86803,275.1275329589844
77612,86802,275.0628356933594
77612,86801,274.999755859375
77612,86800,274.9326171875
77612,86799,274.8665771484375
77612,86798,274.8055725097656
77612,86797,274.7392578125
77612,86796,274.68109130859375
77612,86795,274.61627197265625
77612,86794,274.559814453125
77612,86793,274.49664306640625
77612,86792,274.430419921875
77612,86791,274.3734130859375
77612,86790,274.3120422363281
77612,86789,274.2512512207031
77612,86788,274.1844787597656
77612,86787,274.1239013671875
77612,86786,274.06109619140625
77612,86785,273.9947204589844
77612,86784,273.9302673339844
77612,86783,273.87127685546875
77612,86782,273.80767822265625
77612,86781,273.74822998046875
77612,86780,273.6850280761719
77612,86779,273.6290283203125
77612,86778,273.5782470703125
77612,86777,273.52960205078125
77611,86777,273.511474609375
77611,86776,273.4862365722656
77611,86775,273.4507751464844
77611,86774,273.4119873046875
77611,86773,273.3785400390625
77611,86772,273.3416748046875
77611,86771,273.3057556152344
77611,86770,273.27294921875
77611,86769,273.24053955078125
77611,86768,273.204345703125
77611,86767,273.1685485839844
77611,86766,273.1331787109375
77610,86766,273.1197509765625
77610,86765,273.0975646972656
77610,86764,273.0583801269531
77610,86763,273.0240783691406
77610,86762,272.9824523925781
77610,86761,272.9458312988281
77610,86760,272.9060363769531
77610,86759,272.87017822265625
77610,86758,272.83795166015625
77610,86757,272.8017883300781
77610,86756,272.7667236328125
77610,86755,272.73486328125
77609,86755,272.7157287597656
77609,86754,272.7038879394531
77609,86753,272.67633056640625
77609,86752,272.64739990234375
77609,86751,272.61517333984375
77609,86750,272.5856018066406
77609,86749,272.5568542480469
77609,86748,272.5281066894531
77609,86747,272.4983825683594
77609,86746,272.6008605957031
77609,86745,272.6801452636719
77609,86744,272.7293701171875
77609,86743,272.7519226074219
77609,86742,272.765380859375
77609,86741,272.7687072753906
77609,86740,272.763671875
77609,86739,272.7539978027344
77609,86738,272.74114990234375
77609,86737,272.7239074707031
77609,86736,272.71075439453125
77608,86736,272.6959228515625
77608,86735,272.6932067871094
77608,86734,272.67327880859375
77608,86733,272.65447998046875
77608,86732,272.6310119628906
77608,86731,272.5997314453125
77608,86730,272.5675354003906
77608,86729,272.5347595214844
77608,86728,272.5063781738281
77608,86727,272.4808654785156
77608,86726,272.45404052734375
77608,86725,272.4291076660156
77608,86724,272.40826416015625
77608,86723,272.3836364746094
77608,86722,272.3641357421875
77608,86721,272.34173583984375
77608,86720,272.3185729980469
77608,86719,272.29833984375
77608,86718,272.2793273925781
77608,86717,272.26104736328125
77608,86716,272.24359130859375
77608,86715,272.22735595703125
77608,86714,272.2112121582031
77608,86713,272.19586181640625
77607,86713,272.1865539550781
77607,86712,272.1784362792969
77607,86711,272.1592712402344
77607,86710,272.14111328125
77607,86709,272.1211242675781
77607,86708,272.1022644042969
77607,86707,272.08203125
77607,86706,272.0619201660156
77607,86705,272.04107666015625
77607,86704,272.01654052734375
77607,86703,271.991455078125
77607,86702,271.9739990234375
77607,86701,271.9589538574219
77607,86700,271.94091796875
77607,86699,271.92340087890625
77607,86698,271.9111633300781
77607,86697,271.8908386230469
77607,86696,271.8757019042969
77607,86695,271.8630065917969
77607,86694,271.8487243652344
77607,86693,271.8337097167969
77607,86692,271.8180847167969
77607,86691,271.8032531738281
77607,86690,271.78509521484375
77607,86689,271.7685852050781
77607,86688,271.7541198730469
77607,86687,271.7408142089844
77607,86686,271.72344970703125
77607,86685,271.7070617675781
77607,86684,271.69171142578125
77606,86684,271.67962646484375
77606,86683,271.6753234863281
77606,86682,271.6617126464844
77606,86681,271.6482849121094
77606,86680,271.63482666015625
77606,86679,271.62249755859375
77606,86678,271.6123352050781
77606,86677,271.6019287109375
77606,86676,271.5931091308594
77606,86675,271.5838317871094
77606,86674,271.5744934082031
77606,86673,271.5633239746094
77606,86672,271.5503845214844
77606,86671,271.5373229980469
77606,86670,271.5223083496094
77606,86669,271.5047912597656
77606,86668,271.4933166503906
77606,86667,271.4661560058594
77606,86666,271.44500732421875
77606,86665,271.4270324707031
77606,86664,271.4101257324219
77606,86663,271.3934020996094
77606,86662,271.37542724609375
77606,86661,271.3537292480469
77606,86660,271.3468933105469
77606,86659,271.3291320800781
